Edad,Credito,Cumplio
51,428082,1
32,238433,0
36,200231,1
60,583297,0
33,459947,1
47,476954,1
27,280098,0
24,588167,1
50,151011,0
27,476161,0
27,190587,0
32,257875,1
27,80363,0
30,527737,0
27,172144,0
57,179593,1
54,426655,0
26,227950,1
32,274656,1
37,323807,0
33,485821,0
29,250447,0
38,215500,0
35,58354,0
33,174955,0
52,168212,0
25,110718,0
54,332028,1
18,267033,0
39,171472,0
60,258870,0
28,324283,1
47,548042,1
53,445070,1
49,367103,1
26,543885,0
54,208824,1
57,420090,0
51,196808,1
46,432243,0
48,83537,1
27,577916,0
49,316468,0
21,272236,1
48,244195,0
22,159222,0
33,277014,1
48,330133,1
39,581981,1
54,544350,1
53,431627,1
35,363845,1
35,425455,0
56,133549,1
41,301169,1
18,578500,1
35,267789,1
48,489319,1
29,285157,0
34,116148,1
59,546049,0
29,111785,0
40,488494,0
23,573779,1
54,247586,1
28,365405,1
52,242150,1
40,516597,1
55,447703,1
18,521834,0
45,182567,0
20,165325,0
28,393400,0
23,193789,1
47,107147,1
20,531163,0
58,564714,1
60,249531,0
46,587311,0
40,176253,0
56,223164,1
42,536231,1
54,348595,1
43,516004,1
23,193993,0
53,142441,1
48,148614,0
59,553292,0
51,493744,1
50,539907,0
19,182475,0
47,271222,0
49,329580,0
50,435712,1
37,547587,0
49,356706,1
51,226149,0
46,165085,1
31,292497,1
48,275277,1
37,432246,0
39,211530,1
18,575038,0
35,554496,1
40,485614,0
31,327834,1
41,407288,0
52,384621,0
53,272516,0
53,391605,1
52,544911,0
38,372961,0
40,154654,1
46,71638,1
45,503994,0
19,91989,1
58,433950,0
22,447671,0
42,583721,0
42,485475,0
45,126849,0
48,437109,1
22,596249,0
54,324446,1
50,283381,0
49,171708,1
56,206752,1
39,228108,1
23,382901,1
47,407977,0
52,525560,1
18,486305,0
24,180987,0
37,461549,1
19,204647,0
43,545047,0
44,581543,0
44,243198,0
49,299179,0
43,226727,0
23,428045,1
35,475550,0
40,69716,1
26,404297,1
22,441351,0
44,332700,1
52,404906,1
33,152372,1
40,508142,0
48,198913,1
47,52929,0
22,76544,0
48,409070,1
47,242522,0
26,126983,0
56,254112,0
41,596486,1
20,375827,1
26,372415,1
47,545115,1
23,252840,0
27,478811,0
24,416344,0
23,362301,1
48,455315,1
50,279206,0
33,444186,0
